Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Tuesday,21,21:00,10699805232,0.206999225,970689320,0.15357138,26.503,0.500089133,53,0.487804878,6442.951131,0.184839742,624.8562728,0.111250494,9694.249785,0.391531292,805.3548097,0.123635427,22.43066667,0.231060329,15.9,0.501721118,12,0.727272727
Tuesday,22,22:00,17501894968,0.339489017,1033950648,0.163982247,20.5,0.347212672,41,0.341463415,7162.966845,0.213720984,1004.622914,0.23235582,11921.27292,0.506230682,972.6430136,0.173228167,29.11066667,0.304262065,12.564,0.350625038,12,0.727272727
Tuesday,23,23:00,6450999528,0.124241806,401700848,0.059933398,13.279,0.163317799,24,0.134146341,13896.70298,0.483824345,1430.196661,0.36806876,13295.46505,0.577006328,1021.313156,0.187656475,8.22,0.07533496,6.413333333,0.072045413,9,0.454545455
Wednesday,0,0:00,2696185944,0.051106271,184782840,0.024235374,11.207,0.110550844,20,0.085365854,6730.287298,0.196365359,716.4449094,0.140457566,8501.83188,0.330117648,732.9278586,0.102164391,6.590666667,0.057480165,5.954666667,0.051271212,8,0.363636364
Wednesday,1,1:00,3077878992,0.058540815,184599464,0.024205196,9.197,0.059362824,17,0.048780488,7257.698048,0.217520838,789.3205703,0.163697182,10089.8517,0.411906159,848.491299,0.136423278,8.750666667,0.081150188,5.856,0.046802343,8,0.363636364
Wednesday,2,2:00,1132049080,0.020640315,111426384,0.01216316,7.652,0.020016808,15,0.024390244,16598.46038,0.592197133,1380.094683,0.352091536,14093.00833,0.618082564,1305.293551,0.271842723,2.58,0.013529902,5.405333333,0.026390482,8,0.363636364
Wednesday,3,3:00,285709128,0.004155468,46950744,0.001552455,6.866,0,13,0,17504.7007,0.628548209,679.2271615,0.128589048,9995.771193,0.407060687,799.4473599,0.121884158,1.345333333,0,4.822666667,0,8,0.363636364
Wednesday,4,4:00,7718660056,0.148933054,322915672,0.046967785,11.425,0.11610258,27,0.170731707,11533.55014,0.389033651,692.3676557,0.132779473,13451.68934,0.585052419,797.8742637,0.121417812,17.624,0.178387224,6.910666667,0.094570928,8,0.363636364
Wednesday,5,5:00,11335112632,0.21937362,643107752,0.099661541,20.233,0.340413069,39,0.317073171,10056.56332,0.329788813,932.7956973,0.209450547,12823.43949,0.55269538,1017.981461,0.186668791,19.624,0.200303911,9.430666667,0.208708255,10,0.545454545
Wednesday,6,6:00,17477313704,0.339010228,1329613112,0.212639184,30.167,0.593399037,47,0.414634146,9283.060468,0.298762097,972.2499035,0.222032259,12838.42018,0.553466937,1090.66839,0.208216898,24.29466667,0.251486682,14.62666667,0.444048554,11,0.636363636
